10 10
<<<<<<< HEAD
. . . . w . . . . .
. . . . w . . . . .
. . . . w . . . . .
. . . . w . . . . .
. . . . . . . . . .
. . . . w . . . . .
. . . . w . . . . .
. . . . w . . . . .
. . . . w . . . . .
. . . . w . . . . .
1 0
=======
w w w w . . . . . .
w . . . . w w . . .
w . w . w w w w w .
w w w w w . . . . .
. . w w w w w w w .
. . w . . . . . . .
. . w . w w w w . .
. . . . w . . . . .
w . w w w . w w w w
w w w w w . . . . .

1 1
<<<<<<< HEAD
>>>>>>> d01fd726fc308572bcb25b4fef67814033551230
=======
>>>>>>> d01fd726fc308572bcb25b4fef67814033551230

7 9

